sub,ses,cond,trial,p300_mean,theta_mean
sub-01,ses-S1,0b,1,-1.5734436685513137e-06,1.78210227580895e-12
sub-01,ses-S1,0b,2,-8.449971665367836e-06,1.7908726547812703e-12
sub-01,ses-S1,0b,3,-2.208927569712069e-06,7.051401328077902e-13
sub-01,ses-S1,0b,4,7.414471113762042e-07,1.652453192161018e-12
sub-01,ses-S1,0b,5,-4.2525852167781864e-06,1.365719776248908e-12
sub-01,ses-S1,0b,6,-4.958159586727841e-06,2.0140422715971994e-12
sub-01,ses-S1,0b,7,3.919738446409433e-06,1.2276706515462679e-12
sub-01,ses-S1,0b,8,-2.357449753443266e-06,2.6958264294884405e-12
sub-01,ses-S1,0b,9,1.050568128011826e-06,1.0830258852762684e-12
sub-01,ses-S1,0b,10,4.239868094380365e-08,6.335758523607039e-13
sub-01,ses-S1,0b,11,-6.212398645024641e-06,1.5439797899601546e-12
sub-01,ses-S1,0b,12,1.4565854582734676e-05,1.3422471586625759e-12
sub-01,ses-S1,0b,13,-1.3655707391142486e-05,1.123729188939131e-12
sub-01,ses-S1,0b,14,3.2591189478058503e-06,2.1295288434579415e-12
sub-01,ses-S1,0b,15,-1.223590887311817e-06,1.8592241034831697e-12
sub-01,ses-S1,0b,16,-2.2653428722416287e-06,1.515079288961474e-12
sub-01,ses-S1,0b,17,-4.536258000869662e-06,1.3708348640287577e-12
sub-01,ses-S1,0b,18,-1.3025498940586278e-06,1.8180523091751627e-12
sub-01,ses-S1,0b,19,7.058192435122286e-06,3.0089650454466367e-12
sub-01,ses-S1,0b,20,6.131346366102611e-06,2.172785712362579e-12
sub-01,ses-S1,0b,21,4.567249029614412e-06,1.5263355564915872e-12
sub-01,ses-S1,0b,22,6.4068076613439826e-06,2.8270575425073912e-12
sub-01,ses-S1,0b,23,2.833156873179769e-06,3.823409006247847e-12
sub-01,ses-S1,0b,24,3.847633035420584e-06,6.609766501299048e-13
sub-01,ses-S1,0b,25,1.0690151104361726e-05,1.557298483832809e-12
sub-01,ses-S1,0b,26,-4.3015401566183855e-06,8.89530585884225e-13
sub-01,ses-S1,0b,27,3.527481271414643e-06,7.606583733354233e-13
sub-01,ses-S1,0b,28,9.575029697677553e-08,3.561366271821954e-13
sub-01,ses-S1,0b,29,2.210524208402032e-06,2.9776883570335946e-12
sub-01,ses-S1,0b,30,2.836074848667617e-06,9.366984665004383e-13
sub-01,ses-S1,0b,31,3.6038345646101256e-06,4.4153374733642403e-13
sub-01,ses-S1,0b,32,9.99447618553696e-07,1.408745887569542e-12
